[Info   :Extra Attack System] === DEBUG: ANIMATION CLIPS (ON DEMAND) ===
[Info   :Extra Attack System] Total clips: 615
[Info   :Extra Attack System]   Clip: [Sword-Attack-R4] - Length: 1.400s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [IdleTweaked] - Length: 1.933s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [IdleTweaked] - Length: 1.933s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [2-hand-pickaxe-Idle] - Length: 2.417s, FrameRate: 24, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [IdleTweaked] - Length: 1.933s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [IdleTweaked] - Length: 1.933s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Standing Torch Idle right] - Length: 6.333s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Standing Torch Idle left] - Length: 6.333s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [2Hand-Spear-Idle] - Length: 2.000s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Idle_Battleaxe] - Length: 1.967s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Idle_Fishing] - Length: 3.000s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Idle Crossbow] - Length: 2.000s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Knife Idle] - Length: 1.500s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Idle Staff 3] - Length: 2.000s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Greatsword Idle] - Length: 2.000s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Idle magic item] - Length: 2.000s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [DualAxes Idle] - Length: 2.000s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Idle Feaster] - Length: 2.000s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Idle Scythe] - Length: 2.000s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Standard Run New] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Run Item Right] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [PickAxe Run] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Standard Run New] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Standard Run New] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Run Torch Right] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Run Torch Left] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Atgeir Run] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Battleaxe Run] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Run Item Right] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [CrossbowRun] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Standard Run New] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Staff Run] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Greatsword Run] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
[Info   :Extra Attack System]   Clip: [Magic Item Run] - Length: 0.733s, FrameRate: 30, Legacy: False, Events: 0
