[Info   :Extra Attack System] === SEARCHING FOR ALL SECONDARY/ATTACK CLIPS ===
[Info   :Extra Attack System]   Found clip: [Sword-Attack-R4]
[Info   :Extra Attack System]   Found clip: [IdleTweaked]
[Info   :Extra Attack System]   Found clip: [IdleTweaked]
[Info   :Extra Attack System]   Found clip: [2-hand-pickaxe-Idle]
[Info   :Extra Attack System]   Found clip: [IdleTweaked]
[Info   :Extra Attack System]   Found clip: [IdleTweaked]
[Info   :Extra Attack System]   Found clip: [Standing Torch Idle right]
[Info   :Extra Attack System]   Found clip: [Standing Torch Idle left]
[Info   :Extra Attack System]   Found clip: [2Hand-Spear-Idle]
[Info   :Extra Attack System]   Found clip: [Idle_Battleaxe]
[Info   :Extra Attack System]   Found clip: [Idle_Fishing]
[Info   :Extra Attack System]   Found clip: [Idle Crossbow]
[Info   :Extra Attack System]   Found clip: [Knife Idle]
[Info   :Extra Attack System]   Found clip: [Idle Staff 3]
[Info   :Extra Attack System]   Found clip: [Greatsword Idle]
[Info   :Extra Attack System]   Found clip: [Idle magic item]
[Info   :Extra Attack System]   Found clip: [DualAxes Idle]
[Info   :Extra Attack System]   Found clip: [Idle Feaster]
[Info   :Extra Attack System]   Found clip: [Idle Scythe]
[Info   :Extra Attack System]   Found clip: [PickAxe Run]
[Info   :Extra Attack System]   Found clip: [Jog_With Sword_right]
[Info   :Extra Attack System]   Found clip: [PickAxe Jog]
[Info   :Extra Attack System]   Found clip: [Jog_With Sword_right]
[Info   :Extra Attack System]   Found clip: [Walk with PickAxe]
[Info   :Extra Attack System]   Found clip: [Walk with PickAxe]
[Info   :Extra Attack System]   Found clip: [PickAxe Jog]
[Info   :Extra Attack System]   Found clip: [PickAxe Jog]
[Info   :Extra Attack System]   Found clip: [PickAxe Jog]
[Info   :Extra Attack System]   Found clip: [Bow Aim Idle 01]
[Info   :Extra Attack System]   Found clip: [Sword And Shield Idle]
[Info   :Extra Attack System]   Found clip: [Sword And Shield Walk]
[Info   :Extra Attack System]   Found clip: [Sword And Shield Run back]
[Info   :Extra Attack System]   Found clip: [Sword And Shield Strafe left]
[Info   :Extra Attack System]   Found clip: [Sword And Shield Strafe run left]
[Info   :Extra Attack System]   Found clip: [Sword And Shield Strafe right]
[Info   :Extra Attack System]   Found clip: [Sword And Shield Strafe run right]
[Info   :Extra Attack System]   Found clip: [Sword And Shield Walk Back]
[Info   :Extra Attack System]   Found clip: [Sword And Shield Run back]
[Info   :Extra Attack System]   Found clip: [Attack1]
[Info   :Extra Attack System]   Found clip: [Attack2]
[Info   :Extra Attack System]   Found clip: [Attack3]
[Info   :Extra Attack System]   Found clip: [Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Pickaxe Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Atgeir Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Battleaxe Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Crossbow Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Greatsword Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Crouch Idle]
[Info   :Extra Attack System]   Found clip: [Sledge-Attack1]
[Info   :Extra Attack System]   Found clip: [2Hand-Spear-Attack1]
[Info   :Extra Attack System]   Found clip: [2Hand-Spear-Attack9]
[Info   :Extra Attack System]   Found clip: [2Hand-Spear-Attack3]
[Info   :Extra Attack System]   Found clip: [BattleAxe1]
[Info   :Extra Attack System]   Found clip: [BattleAxe2]
[Info   :Extra Attack System]   Found clip: [BattleAxe_Combo3]
[Info   :Extra Attack System]   Found clip: [Axe combo 2]
[Info   :Extra Attack System]   Found clip: [Axe combo 3]
[Info   :Extra Attack System]   Found clip: [Atgeir360Attack]
[Info   :Extra Attack System]   Found clip: [Knife JumpAttack]
[Info   :Extra Attack System]   Found clip: [MaceAltAttack]
[Info   :Extra Attack System]   Found clip: [BattleAxeAltAttack]
[Info   :Extra Attack System]   Found clip: [Riding_Idle]
[Info   :Extra Attack System]   Found clip: [Sit_Throne_Idle]
[Info   :Extra Attack System]   Found clip: [Crossbow Idle Block]
[Info   :Extra Attack System]   Found clip: [Knife Idle Block]
[Info   :Extra Attack System]   Found clip: [Knife Walk Block]
[Info   :Extra Attack System]   Found clip: [Knife Walk Block]
[Info   :Extra Attack System]   Found clip: [Knife Strafe Block L]
[Info   :Extra Attack System]   Found clip: [Knife Strafe Block L]
[Info   :Extra Attack System]   Found clip: [Knife Strafe Block R]
[Info   :Extra Attack System]   Found clip: [Knife Strafe Block R]
[Info   :Extra Attack System]   Found clip: [Knife Walk Back Block]
[Info   :Extra Attack System]   Found clip: [Knife Walk Back Block]
[Info   :Extra Attack System]   Found clip: [Knife Attack Leap]
[Info   :Extra Attack System]   Found clip: [Knife Attack Combo (3)]
[Info   :Extra Attack System]   Found clip: [Knife Attack Combo (2)]
[Info   :Extra Attack System]   Found clip: [Knife Attack Combo (1)]
[Info   :Extra Attack System]   Found clip: [Fireball Staff Attacks (1)]
[Info   :Extra Attack System]   Found clip: [Fireball Staff Attacks (2)]
[Info   :Extra Attack System]   Found clip: [Beam Staff Attack]
[Info   :Extra Attack System]   Found clip: [Beam Staff Attack Loop]
[Info   :Extra Attack System]   Found clip: [Greatsword BaseAttack (3)]
[Info   :Extra Attack System]   Found clip: [Greatsword BaseAttack (1)]
[Info   :Extra Attack System]   Found clip: [Greatsword BaseAttack (2)]
[Info   :Extra Attack System]   Found clip: [Block Idle Staff]
[Info   :Extra Attack System]   Found clip: [Greatsword Secondary Attack]
[Info   :Extra Attack System]   Found clip: [Fireball Staff Attacks to Idle]
[Info   :Extra Attack System]   Found clip: [Ground Staff Attack]
[Info   :Extra Attack System]   Found clip: [Axe Secondary Attack]
[Info   :Extra Attack System]   Found clip: [AsksvinRide Idle]
[Info   :Extra Attack System]   Found clip: [DualAxes Attack 1]
[Info   :Extra Attack System]   Found clip: [DualAxes Attack 2 2]
[Info   :Extra Attack System]   Found clip: [DualAxes Attack 3 2]
[Info   :Extra Attack System]   Found clip: [DualAxes Attack Cleave]
[Info   :Extra Attack System]   Found clip: [Lightning Staff Attack]
[Info   :Extra Attack System]   Found clip: [DualAxes Attack 4]
[Info   :Extra Attack System]   Found clip: [Beam Staff Attack Loop]
[Info   :Extra Attack System]   Found clip: [Beam Staff Attack]
[Info   :Extra Attack System]   Found clip: [Charge Staff Attack 2]
[Info   :Extra Attack System] === END CLIP SEARCH ===
